player_name,age,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,Pos,Tm
Malachi Richardson,23,22,0,103,9,29,0.3103448275862069,8,25,0.32,1,4,0.25,0.4482758620689655,4,5,0.8,2,11,13,0,1,0,8,13,30,SG,TOR
Austin Rivers,26,152,30,4056,464,1144,0.40559440559440557,208,654,0.3180428134556575,256,490,0.5224489795918368,0.4965034965034965,100,190,0.5263157894736842,50,274,324,334,94,46,136,414,1236,SG,TOT
Devin Robinson,23,7,0,95,19,32,0.59375,0,2,0,19,30,0.6333333333333333,0.59375,9,14,0.6428571428571429,6,14,20,6,4,6,2,11,47,SF,WAS
Duncan Robinson,24,15,1,161,18,46,0.391304347826087,10,35,0.2857142857142857,8,11,0.7272727272727273,0.5,4,6,0.6666666666666666,2,17,19,5,5,0,4,11,50,PF,MIA
Glenn Robinson,25,47,18,610,74,176,0.42045454545454547,18,62,0.2903225806451613,56,114,0.49122807017543857,0.4715909090909091,32,40,0.8,17,54,71,21,14,8,18,45,198,SF,DET
Jerome Robinson,21,33,0,320,44,110,0.4,18,57,0.3157894736842105,26,53,0.49056603773584906,0.4818181818181818,6,9,0.6666666666666666,3,38,41,19,11,3,13,46,112,SG,LAC
Mitchell Robinson,20,66,19,1360,202,291,0.6941580756013745,0,0,0,202,291,0.6941580756013745,0.6941580756013745,81,135,0.6,177,246,423,37,52,161,35,217,485,C,NYK
Rajon Rondo,32,46,29,1369,175,432,0.4050925925925926,51,142,0.3591549295774648,124,290,0.42758620689655175,0.46412037037037035,23,36,0.6388888888888888,34,209,243,367,57,7,127,100,424,PG,LAL
Derrick Rose,30,51,13,1392,363,753,0.4820717131474104,54,146,0.3698630136986301,309,607,0.5090609555189456,0.5179282868525896,137,160,0.85625,33,107,140,220,31,12,82,57,917,PG,MIN
Terrence Ross,27,81,0,2150,440,1027,0.42843232716650437,217,566,0.3833922261484099,223,461,0.4837310195227766,0.5340798442064265,126,144,0.875,27,253,280,135,72,29,90,119,1223,SG,ORL
Terry Rozier,24,79,14,1791,258,666,0.38738738738738737,119,337,0.35311572700296734,139,329,0.42249240121580545,0.4767267267267267,73,93,0.7849462365591398,32,275,307,231,68,21,68,101,708,PG,BOS
Ricky Rubio,28,68,67,1899,295,730,0.4041095890410959,79,254,0.3110236220472441,216,476,0.453781512605042,0.45821917808219176,195,228,0.8552631578947368,33,210,243,416,91,10,180,180,864,PG,UTA
D'Angelo Russell,22,81,81,2448,659,1517,0.43441001977587346,234,635,0.36850393700787404,425,882,0.481859410430839,0.5115359261700725,160,205,0.7804878048780488,53,262,315,563,100,20,253,141,1712,PG,BRK
Domantas Sabonis,22,74,5,1838,413,700,0.59,9,17,0.5294117647058824,404,683,0.5915080527086384,0.5964285714285714,208,291,0.7147766323024055,186,504,690,212,48,30,160,239,1043,C,IND
